rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city
17,https://www.inc.com/profile/lendingpoint,LendingPoint,lendingpoint.com,GA,1058,9265.2406,Financial Services,190,32,2014,1,Atlanta,Kennesaw
18,https://www.inc.com/profile/with-clarity,With Clarity,http://withclarity.com,NY,19,9179.3319,Consumer Products & Services,14,2,2013,1,New York City,New York
19,https://www.inc.com/profile/sonendo,Sonendo,sonendo.com,CA,244,8656.9532,Health,191,66,2006,1,Los Angeles,Laguna Hills
20,https://www.inc.com/profile/kindred-bravely,Kindred Bravely,http://kindredbravely.com,CA,96,8543.9808,Consumer Products & Services,35,2,2015,1,San Diego,Oceanside
23,https://www.inc.com/profile/convertkit,ConvertKit,convertkit.com,ID,138,7965.9741,Software,37,10,2013,2,"Boise City-Nampa, ID",Boise
24,https://www.inc.com/profile/printify,Printify,http://printify.com,CA,105,7926.4244,Software,70,5,2015,1,San Francisco,San Francisco
25,https://www.inc.com/profile/awardco,Awardco,http://award.co,UT,89,7478.1478,Software,42,2,2015,1,"Provo-Orem, UT",Orem
27,https://www.inc.com/profile/fitt-scientific,FITT Scientific,fittscientific.com,VA,158,7329.3794,Government Services,191,7,2013,1,"Richmond, VA",Colonial Heights
28,https://www.inc.com/profile/amherst-madison,Amherst Madison,amherstmadisonlegacy.com,ID,78,7301.3354,Real Estate,8,1,2014,2,"Boise City-Nampa, ID",Boise
30,https://www.inc.com/profile/bendcare,Bendcare,bendcare.com,FL,156,6900.2519,Health,37,6,2015,1,Miami,Boca Raton
31,https://www.inc.com/profile/the-welfont-companies,The Welfont Companies,welfont.com,FL,204,6870.9856,Real Estate,51,35,2014,2,Tampa,Tampa
32,https://www.inc.com/profile/Skinny-Dipped,Skinny Dipped,http://skinnydipped.com,WA,102,6641.6793,Consumer Products & Services,21,4,2013,1,Seattle,Seattle
34,https://www.inc.com/profile/limited-run-games,Limited Run Games,limitedrungames.com,NC,208,6388.3661,Media,21,6,2010,1,"Raleigh, NC",Apex
35,https://www.inc.com/profile/swanleap,SwanLeap,swanleap.com,WI,1626,6382.9368,Logistics & Transportation,38,13,2013,3,"Madison, WI",Madison
36,https://www.inc.com/profile/vesta-modular,Vesta Modular,http://vestamodular.com,MI,489,6337.2973,Construction,52,2,2014,1,Detroit,Southfield
37,https://www.inc.com/profile/hc-animal-health,H&C Animal Health,hc-animal-health.com,CO,24,6287.4646,Consumer Products & Services,11,5,2013,1,Denver,Parker
38,https://www.inc.com/profile/homesnap,Homesnap,homesnap.com,MD,175,6176.6896,Real Estate,85,25,2012,2,"Washington, DC",Bethesda
39,https://www.inc.com/profile/paradigm-construction,Paradigm Construction,paradigmconstruction-tx.com,TX,452,6145.4572,Construction,27,7,2013,2,Houston,The Woodlands
40,https://www.inc.com/profile/allata,Allata,allata.com,TX,152,6134.3502,IT System Development,71,1,2014,1,Dallas,Dallas
41,https://www.inc.com/profile/fanchest,Fanchest,http://fanchest.com,NY,83,6055.9447,Retail,13,2,2014,1,New York City,New York
42,https://www.inc.com/profile/fund-that-flip,Fund That Flip,http://fundthatflip.com,NY,64,6017.8863,Real Estate,41,5,2014,1,New York City,New York
43,https://www.inc.com/profile/villaway,Villaway,http://villaway.com,CA,7,5935.6786,Travel & Hospitality,15,1,2014,2,Los Angeles,Los Angeles
44,https://www.inc.com/profile/IQM,IQM,http://iqm.com,NY,88,5852.2149,Advertising & Marketing,40,12,2014,1,New York City,New York
45,https://www.inc.com/profile/home-quality-remodeling,Home Quality Remodeling,homequalityremodeling.com,CA,62,5835.3894,Construction,10,2,2004,1,San Francisco,Concord
46,https://www.inc.com/profile/beeswax,Beeswax,http://beeswax.com,NY,169,5768.1833,Software,56,7,2014,1,New York City,New York
47,https://www.inc.com/profile/netizen,Netizen,http://netizencorp.com,PA,63,5638.3886,Security,46,5,2013,1,"Allentown-Bethlehem-Easton, PA-NJ",Allentown
48,https://www.inc.com/profile/phdata,phData,phdata.io,MN,98,5638.0311,IT Management,86,3,2014,1,Minneapolis,Minneapolis
50,https://www.inc.com/profile/talex,TalEx,teamtalex.com,MD,485,5484.3682,Human Resources,500,70,2012,3,"Washington, DC",Clarksburg
51,https://www.inc.com/profile/nationwide-mortgage-bankers,Nationwide Mortgage Bankers,nmbhome.com,NY,25,5449.642,Financial Services,400,4,2011,1,New York City,Melville
52,https://www.inc.com/profile/podium,Podium,podium.com,UT,425,5416.8842,Software,430,17,2014,2,"Provo-Orem, UT",Lehi
53,https://www.inc.com/profile/sia-solutions,SIA Solutions,http://siasolutions.com,TX,239,5059.5724,Environmental Services,60,7,2012,3,Houston,Houston
54,https://www.inc.com/profile/qeo-group,QEO Group,qeo.com,TX,588,4978.2688,Insurance,87,20,2014,2,Dallas,Irving
55,https://www.inc.com/profile/dropified,Dropified,dropified.com,AL,51,4971.4549,Business Products & Services,30,2,2015,1,"Birmingham, AL",Birmingham
56,https://www.inc.com/profile/sparx-hockey,Sparx Hockey,sparxhockey.com,MA,8,4916.2167,Consumer Products & Services,25,8,2014,1,Boston,Acton
57,https://www.inc.com/profile/truechoicepack,TrueChoicePack,http://truechoicepack.com,OH,78,4908.4033,Consumer Products & Services,7,4,2013,1,Cincinnati,Mason
58,https://www.inc.com/profile/ashh-dba-ooze-wholesale,Ooze Wholesale,http://oozewholesale.com,MI,259,4899.0269,Consumer Products & Services,30,6,2015,1,Detroit,Oak Park
59,https://www.inc.com/profile/progyny,Progyny,http://progyny.com,NY,1076,4838.0226,Health,116,70,2008,2,New York City,New York
60,https://www.inc.com/profile/pax8,Pax8,pax8.com,CO,424,4820.2665,Software,254,25,2012,2,Denver,Greenwood Village
61,https://www.inc.com/profile/terminus,Terminus,http://terminus.com,GA,215,4730.0523,Software,162,21,2014,1,Atlanta,Atlanta
63,https://www.inc.com/profile/rad-power-bikes,Rad Power Bikes,radpowerbikes.com,WA,446,4442.2488,Manufacturing,100,3,2007,1,Seattle,Seattle
65,https://www.inc.com/profile/west-creek-financial,West Creek Financial,http://westcreekfin.com,VA,897,4405.2286,Financial Services,158,4,2014,1,"Richmond, VA",Glen Allen
66,https://www.inc.com/profile/citylift-parking,CityLift Parking,cityliftparking.com,CA,107,4401.8691,Construction,40,5,2015,1,San Francisco,Oakland
67,https://www.inc.com/profile/associated-veterans,Associated Veterans,associatedveterans.com,VA,128,4345.779,Government Services,64,1,2007,2,"Washington, DC",Arlington
